Ano;Mes;Dia;H;M;S;Dist(cm);Dist2(cm);T(°C);P(Pa)
2019;10;6;6;54;39;28.17;15.56;26.43;101592.88
2019;10;6;6;54;40;0.00;16.66;26.43;101593.34
2019;10;6;6;54;40;0.00;14.33;26.43;101593.93
2019;10;6;6;54;41;0.00;14.40;26.42;101595.53
2019;10;6;6;54;41;31.14;16.86;26.42;101596.16
2019;10;6;6;54;42;0.00;16.89;26.42;101596.75
2019;10;6;6;54;42;24.09;16.80;26.42;101597.61
2019;10;6;6;54;43;0.00;16.04;26.41;101598.31
2019;10;6;6;54;44;0.00;16.48;26.41;101598.91
2019;10;6;6;54;44;0.00;17.23;26.41;101599.88
2019;10;6;6;54;45;0.00;17.11;26.41;101600.29
2019;10;6;6;54;45;0.00;17.14;26.40;101600.72
2019;10;6;6;54;46;23.73;13.75;26.40;101601.17
2019;10;6;6;54;47;0.00;14.27;26.40;101602.05
2019;10;6;6;54;47;22.83;11.86;26.40;101602.55
2019;10;6;6;54;48;0.00;13.61;26.39;101602.81
2019;10;6;6;54;48;23.53;18.09;26.39;101603.17
2019;10;6;6;54;49;0.00;18.12;26.39;101603.86
2019;10;6;6;54;49;22.81;18.26;26.39;101604.11
2019;10;6;6;54;50;0.00;16.80;26.38;101603.83
2019;10;6;6;54;51;0.00;17.72;26.37;101604.08
2019;10;6;6;54;51;25.65;14.53;26.37;101604.16
2019;10;6;6;54;52;0.00;16.95;26.37;101605.13
2019;10;6;6;54;52;23.99;12.19;26.37;101605.55
2019;10;6;6;54;53;0.00;12.43;26.36;101605.80
2019;10;6;6;54;53;0.00;12.11;26.36;101606.17
