Ano;Mes;Dia;H;M;S;Dist(cm);Dist2(cm);T(°C);P(Pa)
2019;10;6;11;7;14;118.08;145.39;41.50;101685.60
2019;10;6;11;7;15;122.79;129.47;41.41;101672.30
2019;10;6;11;7;15;117.71;196.80;41.41;101673.06
2019;10;6;11;7;16;116.20;-953.83;41.40;101673.98
2019;10;6;11;7;16;122.11;28.58;41.40;101676.06
2019;10;6;11;7;17;121.62;-634.18;41.39;101677.83
2019;10;6;11;7;17;124.66;-634.18;41.38;101678.55
2019;10;6;11;7;18;122.64;168.72;41.38;101679.05
2019;10;6;11;7;19;123.85;168.72;41.36;101680.52
2019;10;6;11;7;19;123.90;105.04;41.35;101681.55
2019;10;6;11;7;20;122.60;45.47;41.34;101682.27
2019;10;6;11;7;20;127.87;91.79;41.34;101682.78
2019;10;6;11;7;21;126.68;40.77;41.32;101684.07
2019;10;6;11;7;21;127.28;59.11;41.31;101684.47
2019;10;6;11;7;22;127.35;-634.18;41.30;101684.94
2019;10;6;11;7;23;144.23;24.70;41.28;101684.95
2019;10;6;11;7;23;150.30;28.49;41.27;101685.94
2019;10;6;11;7;24;5.30;38.45;41.26;101686.27
2019;10;6;11;7;24;0.00;54.99;41.25;101686.26
2019;10;6;11;7;25;153.73;49.78;41.24;101685.69
2019;10;6;11;7;25;156.66;61.01;41.23;101685.56
2019;10;6;11;7;26;154.56;46.36;41.22;101685.69
2019;10;6;11;7;27;156.37;45.47;41.22;101685.89
2019;10;6;11;7;27;156.93;57.67;41.21;101686.30
2019;10;6;11;7;28;155.07;49.52;41.20;101686.00
2019;10;6;11;7;28;156.11;19.63;41.20;101686.45
2019;10;6;11;7;29;155.33;-594.35;41.19;101686.51
2019;10;6;11;7;29;154.46;-634.18;41.19;101686.98
2019;10;6;11;7;30;155.28;242.12;41.18;101687.25
2019;10;6;11;7;31;158.02;-3240.41;41.18;101687.31
2019;10;6;11;7;31;156.84;-679.74;41.17;101687.59
2019;10;6;11;7;32;118.92;49.52;41.17;101687.47
2019;10;6;11;7;32;113.85;62.63;41.16;101687.64
2019;10;6;11;7;33;118.29;25.85;41.15;101687.63
2019;10;6;11;7;33;117.50;-634.18;41.14;101687.57
2019;10;6;11;7;34;113.93;26.65;41.14;101688.12
2019;10;6;11;7;35;112.23;24.13;41.13;101688.69
2019;10;6;11;7;35;108.21;35.03;41.12;101688.92
2019;10;6;11;7;36;113.73;36.81;41.12;101688.81
2019;10;6;11;7;36;116.50;48.01;41.11;101689.49
2019;10;6;11;7;37;111.74;24.13;41.09;101689.98
2019;10;6;11;7;37;111.25;17.52;41.09;101689.88
2019;10;6;11;7;38;112.64;28.32;41.09;101690.33
2019;10;6;11;7;39;105.38;49.78;41.08;101690.80
2019;10;6;11;7;39;110.30;336.97;41.07;101691.17
2019;10;6;11;7;40;110.38;50.85;41.06;101691.63
2019;10;6;11;7;40;113.97;-634.18;41.05;101692.03
2019;10;6;11;7;41;110.59;41.30;41.04;101692.08
2019;10;6;11;7;41;110.98;84.42;41.02;101693.16
2019;10;6;11;7;42;105.84;84.42;41.01;101693.24
2019;10;6;11;7;42;100.49;174.96;41.00;101693.36
2019;10;6;11;7;43;103.24;1862.60;40.99;101693.45
2019;10;6;11;7;44;112.64;214.66;40.97;101694.12
2019;10;6;11;7;44;100.47;-634.18;40.97;101694.11
2019;10;6;11;7;45;117.45;122.76;40.96;101694.27
2019;10;6;11;7;45;123.79;70.57;40.95;101694.28
2019;10;6;11;7;46;124.30;-679.74;40.95;101694.31
2019;10;6;11;7;46;129.80;672.02;40.95;101694.22
2019;10;6;11;7;47;128.81;-732.35;40.95;101694.56
2019;10;6;11;7;48;124.32;-634.18;40.95;101694.50
2019;10;6;11;7;48;103.58;-634.18;40.95;101694.33
2019;10;6;11;7;49;73.75;118275.11;40.96;101694.61
2019;10;6;11;7;49;64.80;64.33;40.96;101694.92
2019;10;6;11;7;50;68.97;-732.35;40.95;101696.22
2019;10;6;11;7;50;65.47;-634.18;40.94;101696.21
2019;10;6;11;7;51;58.16;-793.79;40.93;101696.45
2019;10;6;11;7;52;55.91;145.39;40.93;101697.14
2019;10;6;11;7;52;56.75;-679.74;40.93;101697.27
2019;10;6;11;7;53;60.40;62.63;40.93;101697.80
2019;10;6;11;7;53;61.40;-679.74;40.93;101697.55
2019;10;6;11;7;54;63.16;107.43;40.93;101697.81
2019;10;6;11;7;54;62.71;61.01;40.93;101698.34
2019;10;6;11;7;55;53.91;224.86;40.93;101698.88
2019;10;6;11;7;55;49.78;-793.79;40.94;101698.98
2019;10;6;11;7;56;62.17;-953.83;40.94;101698.95
2019;10;6;11;7;57;61.63;-634.18;40.95;101698.84
2019;10;6;11;7;57;61.61;523.34;40.97;101698.87
2019;10;6;11;7;58;62.19;-732.35;40.98;101698.70
2019;10;6;11;7;58;60.40;-634.18;40.99;101698.41
2019;10;6;11;7;59;61.51;-634.18;41.00;101698.56
2019;10;6;11;7;59;61.52;185.24;41.02;101698.13
2019;10;6;11;8;0;64.21;-634.18;41.03;101697.91
2019;10;6;11;8;1;66.25;181.68;41.05;101697.69
2019;10;6;11;8;1;0.00;495.91;41.06;101697.29
2019;10;6;11;8;2;67.68;428.53;41.09;101697.44
2019;10;6;11;8;2;70.89;428.53;41.10;101697.47
2019;10;6;11;8;3;62.42;-953.83;41.12;101697.49
2019;10;6;11;8;3;62.27;-732.35;41.13;101697.66
2019;10;6;11;8;4;51.17;122.76;41.16;101697.88
2019;10;6;11;8;5;50.71;1862.60;41.18;101697.73
2019;10;6;11;8;5;53.26;122.76;41.19;101697.92
2019;10;6;11;8;6;56.66;-1060.76;41.21;101697.92
2019;10;6;11;8;6;56.41;70.05;41.23;101697.92
2019;10;6;11;8;7;58.31;196.80;41.25;101698.13
2019;10;6;11;8;7;63.31;85.96;41.26;101697.73
2019;10;6;11;8;8;69.29;-679.74;41.27;101698.10
2019;10;6;11;8;8;71.11;126.03;41.30;101698.00
2019;10;6;11;8;9;71.79;-559.22;41.31;101697.56
2019;10;6;11;8;10;73.59;-1367.34;41.32;101698.28
2019;10;6;11;8;10;72.90;672.02;41.34;101698.23
2019;10;6;11;8;11;75.58;1862.60;41.36;101698.31
2019;10;6;11;8;11;74.75;-559.22;41.37;101698.27
2019;10;6;11;8;12;61.20;-634.18;41.39;101698.63
2019;10;6;11;8;12;60.25;87.55;41.40;101698.41
2019;10;6;11;8;13;58.80;304.44;41.41;101698.36
2019;10;6;11;8;14;58.96;109.92;41.44;101698.67
2019;10;6;11;8;14;62.83;-634.18;41.45;101698.45
2019;10;6;11;8;15;63.95;304.44;41.47;101699.00
2019;10;6;11;8;15;63.00;428.53;41.48;101698.95
2019;10;6;11;8;16;67.07;136.97;41.50;101698.33
2019;10;6;11;8;16;66.37;115.28;41.51;101697.89
2019;10;6;11;8;17;67.86;-866.48;41.53;101698.02
2019;10;6;11;8;17;70.35;-634.18;41.54;101698.31
